person_id,name_lat,bloc,n_committees,committee_ids,committee_labels,degree_full_graph,degree_backbone,weighted_degree_newman
TNP-00484,Faiçal Jadlaoui,No bloc,4,CMT-13e8b4757c0d CMT-499d23e8523f CMT-663b2e4cb3f4 CMT-c6c8260db7f4,Legislative 2 | Special 6 | Joint 1 | Constituent 4,62,12,4.0
TNP-00370,Ahmed Essefi,No bloc,4,CMT-545e8558a206 CMT-5d1546fffb75 CMT-cbc65065020c CMT-e6b2fac8e5c7,Constituent 3 | Special 1 | Special 7 | Legislative 6,62,10,4.0
TNP-00548,Kamel Ben Romdhane,Ennahdha,4,CMT-13e8b4757c0d CMT-499d23e8523f CMT-4d57513fbffc CMT-cbc65065020c,Legislative 2 | Special 6 | Constituent 5 | Special 7,62,7,4.0
TNP-00474,Ali Fares,Ennahdha,4,CMT-336c11e63d66 CMT-7249209246b3 CMT-78e966e1d482 CMT-b46554e2045e,Special 2 | Constituent 6 | Special 3 | Legislative 7,61,17,4.0
TNP-00204,Ferida Laabidi,Ennahdha,4,CMT-336c11e63d66 CMT-5d1546fffb75 CMT-663b2e4cb3f4 CMT-7249209246b3,Special 2 | Special 1 | Joint 1 | Constituent 6,60,14,4.0
TNP-00522,Mustapha Ben Jaafar,Ettakatol,4,CMT-5d1546fffb75 CMT-663b2e4cb3f4 CMT-78e966e1d482 CMT-cbc65065020c,Special 1 | Joint 1 | Special 3 | Special 7,57,11,4.0
TNP-00396,Amel Azzouz,Ennahdha,3,CMT-12bc734f9df1 CMT-336c11e63d66 CMT-4e91930c5e8b,Legislative 1 | Special 2 | Constituent 2,61,3,3.0
TNP-00547,Wissem Yassine,No bloc,3,CMT-178580c40e35 CMT-52252f4274f6 CMT-78e966e1d482,Constituent 1 | Legislative 3 | Special 3,61,1,3.0
TNP-00449,Chokri Arfaoui,Democratic Transition,3,CMT-12bc734f9df1 CMT-400b91a3bed5 CMT-4e91930c5e8b,Legislative 1 | Special 5 | Constituent 2,60,3,3.0
TNP-00384,Zohra Smida,Ennahdha,3,CMT-12bc734f9df1 CMT-4e91930c5e8b CMT-8978fc995f04,Legislative 1 | Constituent 2 | Legislative 5,58,4,3.0
TNP-00538,Nizar Makhloufi,Loyalty to the Revolution,3,CMT-12bc734f9df1 CMT-78e966e1d482 CMT-c6c8260db7f4,Legislative 1 | Special 3 | Constituent 4,58,6,3.0
TNP-00415,Hasna Mersit,No bloc,3,CMT-52252f4274f6 CMT-5d1546fffb75 CMT-7249209246b3,Legislative 3 | Special 1 | Constituent 6,57,4,3.0
TNP-00393,Hedi Ben Braham,Ennahdha,3,CMT-13e8b4757c0d CMT-3b890b1f160a CMT-545e8558a206,Legislative 2 | Special 4 | Constituent 3,57,4,3.0
TNP-00390,Mouldi Riahi,Ettakatol,3,CMT-4e91930c5e8b CMT-5d1546fffb75 CMT-f2d2d05db58f,Constituent 2 | Special 1 | Legislative 4,57,6,3.0
